distance 	 log(kDRatio) 	 DDG 	 deltionSize 	 bindSite 
30	0.031198959920801284	-0.02371000000000012	2	inMotif
33	-0.0533585771452415	0.07029200000000002	2	inMotif
36	0.06255120752924354	-0.00928699999999999	1	inMotif
30	0.031144618944370293	-0.05016100000000001	3	inMotif
7	-0.031882426347465874	0.027188999999999963	3	inMotif
2	0.22655388500892676	-0.06807000000000002	3	inMotif
32	-0.004607988127006059	0.00018299999999998873	3	inMotif
36	0.0	-1.5999999999988246e-05	2	inMotif
31	0.004167099024533959	0.0457402	3	inMotif
6	0.038642771754798855	0.026708639999999995	1	inMotif
5	0.10079540002730861	0.02782249	2	inMotif
4	0.06181698701301246	0.0162449	1	inMotif
0	-0.07285520043835045	-0.000127000000000016	1	inMotif
0	-0.03962818320274185	-0.012384000000000006	2	inMotif
0	0.032509187861537	-0.055489	3	inMotif
0	0.060982418349410726	0.015712700000000003	3	inMotif
0	0.0026523080023073803	0.0160084	2	inMotif
1	-0.011909033727307783	-0.0015831000000000005	3	inMotif
32	0.0076811285104669514	-8.38999999999996e-05	1	inMotif
51	0.011057344896461017	0.0017003999999999977	5	inMotif
9	0.035385987114652004	0.024270000000000014	5	inMotif
42	0.35423285686662753	-1.187256	4	inMotif
47	-0.09380407641978034	0.09953899999999999	2	inMotif
43	0.17009310507243944	-0.16228100000000004	5	inMotif
31	0.21280340135466186	0.0020680000000000004	5	inMotif
21	0.034210614825574207	-0.06026500000000001	1	inMotif
17	-0.37344988711639543	0.12543500000000002	4	inMotif
-1	0.6485669356178227	-0.19524	4	inMotif
2	0.06992783839023477	0.086788	3	inMotif
0	0.17231372260591948	0.05630000000000002	3	inMotif
4	0.09924036207773351	0.00998300000000002	1	inMotif
12	0.1634539755440006	-0.010947999999999958	2	inMotif
35	-0.0865899939777157	-0.021121999999999974	2	inMotif
11	-0.3560623541106227	0.3473584	5	inMotif
3	0.21417032582486065	-0.757195	3	inMotif
1	0.101852034543167	-0.296189	1	inMotif
0	-0.3326182176215722	-0.02607000000000001	1	inMotif
5	0.07424381533741162	-0.06276670000000001	5	inMotif
10	-0.37664633357963534	0.0065192900000000005	9	inMotif
55	0.0286531007952295	0.005303000000000002	2	inMotif
45	0.10579706647703953	0.01824899999999996	4	inMotif
35	0.005130271516340917	-0.04171600000000003	3	inMotif
26	0.2849865960630102	-0.5296700000000001	8	inMotif
30	0.17637972547612307	-0.061006000000000005	1	inMotif
41	0.023717273245012917	-2.0000000000131024e-05	5	inMotif
0	0.02180892893455183	0.06521199999999999	1	inMotif
3	-0.4875515869302906	0.108397	1	inMotif
38	-0.004371489683352705	0.0010833000000000023	1	inMotif
0	-0.10412949560909403	0.03749100000000001	1	inMotif
0	-0.06715553436535175	0.19161899999999998	2	inMotif
48	0.020494990596314835	-0.012176999999999993	1	inMotif
34	0.2419105861041826	0.07261700000000004	1	inMotif
15	-0.02975106397614003	0.07660699999999998	1	inMotif
56	0.04790850441957425	0.0011790000000000134	1	inMotif
10	-0.17407143997630325	0.30125799999999997	3	inMotif
5	-0.04291020704407248	0.10898999999999992	3	inMotif
-1	0.2144143364348843	-0.19579999999999997	1	inMotif
43	-0.05551990698816698	-0.0001105999999999989	1	inMotif
30	-0.021820613834835533	0.00017099999999997673	2	inMotif
6	0.15844521926513547	-0.07546199999999992	1	inMotif
12	1.0964929672825203	-2.099552	4	inMotif
28	0.07396065698929591	-0.09988299999999994	5	inMotif
53	0.009422418428584812	0.031974	2	inMotif
