distance 	 log(kDRatio) 	 DDG 	 deltionSize 	 bindSite 
42	0.35423285686662753	-1.187256	4	inMotif
47	-0.09380407641978034	0.09953899999999999	2	inMotif
38	0.23912325591312733	-0.026241000000000014	2	inMotif
25	0.06587686529619777	-0.006002000000000007	6	inMotif
55	0.2687032001531763	-0.36728000000000005	3	inMotif
33	-0.4973038084558828	1.08483	1	inMotif
25	-0.07436151842028997	-0.18041999999999997	3	inMotif
3	0.15424690296670088	0.5387419999999999	1	inMotif
3	0.08458257757889792	0.053394	1	inMotif
53	0.03234104321808668	0.0	1	inMotif
28	0.2987238694687673	-0.11883128999999999	4	inMotif
8	0.731033126164087	-0.8176880000000001	1	inMotif
68	-0.0003053940331054246	0.0	5	inMotif
44	0.0003091987868056665	8.009999999999962e-05	2	inMotif
29	-0.33440135187645076	0.0217342	7	inMotif
14	-0.3125647073041662	1.0659580000000002	1	inMotif
16	-0.11194690542155403	0.078873	4	inMotif
47	-0.0010904376550027585	-0.0007706000000000102	1	inMotif
58	0.2247378328414131	-0.35529	1	inMotif
37	0.013466101952777967	0.012195599999999994	4	inMotif
6	0.188658347334259	-0.010795579999999999	9	inMotif
17	0.000424449850157854	-0.0032654000000000016	1	inMotif
17	0.2732576205711342	0.001045299999999999	9	inMotif
3	0.37519342909679504	-0.030017810000000002	9	inMotif
1	0.4464976620116052	-0.02865598	10	inMotif
20	-0.05193090296160129	0.0006217999999999918	1	inMotif
15	-0.16229606920721024	-0.0007553999999999964	1	inMotif
10	-0.08753181684566873	-0.018604700000000002	1	inMotif
9	-0.05923404760105524	-0.04747820000000001	2	inMotif
1	-0.09685220434561861	-0.096668	1	inMotif
8	-0.11112632949837413	-0.02429999999999999	1	inMotif
7	-0.11330832245134163	-0.012900999999999996	1	inMotif
6	-0.13129381543471377	-0.014828000000000008	1	inMotif
5	0.06854949848586354	-0.046092999999999995	6	inMotif
5	0.13296097148154068	-0.05845600000000001	8	inMotif
5	-0.08525877537306344	-0.029682000000000014	2	inMotif
0	-0.08336422148259216	-0.0174484	1	inMotif
2	0.0860673346432712	0.0091705	2	inMotif
6	0.10323302785693264	0.0141258	4	inMotif
7	0.0399756483649825	-0.007537799999999997	2	inMotif
20	-0.0032077410286885195	-0.000678999999999999	1	inMotif
22	0.0015568980484648755	-0.00035857999999999984	2	inMotif
21	-0.0050447948699047064	0.0016326899999999996	1	inMotif
1	0.014117117604941365	-0.026062000000000002	3	inMotif
2	-0.015296110104301552	0.014347100000000002	1	inMotif
5	-0.2216814229804373	0.0739709	1	inMotif
10	0.4651656116274383	0.0086479	7	inMotif
17	0.09119115444415181	0.009246800000000003	1	inMotif
20	0.3282485750981693	-0.1530252	2	inMotif
33	-0.06515337131265286	0.00042730000000000545	8	inMotif
39	-0.021491468175119925	-1.8999999999991246e-05	2	inMotif
35	0.02223428447974711	2.6700000000004498e-05	2	inMotif
37	-0.016564497948878435	-0.00011060000000000236	8	inMotif
34	-0.17730270743092216	0.00029370000000000784	2	inMotif
33	0.04911298991995796	-0.0005570000000000019	4	inMotif
18	-0.023695442158234884	-0.0009230000000000071	2	inMotif
9	0.10125452169132375	-0.0623358	1	inMotif
1	0.1534783277826126	0.187355	2	inMotif
1	0.29958504144647685	-0.13598	1	inMotif
62	0.09106901532120074	-0.12988700000000003	1	inMotif
51	-0.11309722174163747	0.2404442	10	inMotif
19	0.41314747123215934	-0.86164	1	inMotif
16	-0.08659136101105705	0.200401473	3	inMotif
29	0.28360188004428827	0.040886	1	inMotif
43	-0.02436284941035632	-0.00022099999999999898	2	inMotif
44	0.0	-7.000000000007001e-06	1	inMotif
32	0.014398606038244685	3.0000000000196536e-05	1	inMotif
13	-0.01931324772757	0.7887959999999999	1	inMotif
8	-0.07614943294668147	0.096134	1	inMotif
6	0.009059282321309838	-0.02671000000000001	1	inMotif
18	0.017692174648225503	-0.03291300000000008	9	inMotif
18	0.0017287793642185843	0.006359999999999921	1	inMotif
21	-0.037835537334248166	-0.028689999999999882	2	inMotif
24	0.054193947172799836	-0.2752999999999999	1	inMotif
30	-0.13727806421718372	0.6425800000000002	1	inMotif
14	-0.34301885851758324	1.171125	2	inMotif
3	0.16271490606532268	-0.32217700000000005	2	inMotif
39	-0.2434254391143018	0.344317	4	inMotif
26	-0.002022244244081539	-0.0035400000000000015	2	inMotif
0	-0.39874487763703115	0.38834	4	inMotif
19	0.19995776852133515	-0.85257	3	inMotif
2	-0.15605098244777227	-0.0032119999999999926	1	inMotif
6	-0.0033671909869789182	8.3999999999999e-05	1	inMotif
11	0.018206032903983333	-0.0010490399999999993	3	inMotif
23	0.06987868072881845	0.006244699999999995	5	inMotif
30	0.44485469175381903	0.0026999999999999247	2	inMotif
8	-0.7725813053078171	1.00115	1	inMotif
