distance 	 log(kDRatio) 	 DDG 	 deltionSize 	 bindSite 
18	0.0	-0.071268	1	outOfMotif
20	0.14126594417551527	-2.48671	1	outOfMotif
31	-0.5172015679546872	-2.516052	1	outOfMotif
64	0.022705652457890767	-0.6893200000000002	1	outOfMotif
10	0.04052204703668383	-0.29017000000000004	4	outOfMotif
16	0.05599086611800925	4.6414100000000005	9	outOfMotif
25	-0.6902117749747302	2.1592799999999994	5	outOfMotif
42	0.35423285686662753	-1.187256	4	inMotif
47	-0.09380407641978034	0.09953899999999999	2	inMotif
12	0.19496595326444413	0.731034	5	outOfMotif
5	0.11463442919205075	-0.19923000000000002	5	outOfMotif
66	-0.5783653637860079	-6.755999999999999	1	outOfMotif
64	-0.018114567164016018	-0.41758000000000006	2	outOfMotif
13	-0.018114567164016018	0.347229	2	outOfMotif
16	-0.1266798781334758	0.04868000000000006	1	outOfMotif
38	0.23912325591312733	-0.026241000000000014	2	inMotif
25	0.06587686529619777	-0.006002000000000007	6	inMotif
37	-0.00043994797429248544	9.999999999621423e-06	1	outOfMotif
58	-0.25441557747759797	-0.10880999999999985	2	outOfMotif
55	-0.09479108218618684	-0.72336	1	outOfMotif
5	-0.009357040906598989	1.420806	3	outOfMotif
1	-0.009357040906598989	0.70008	3	outOfMotif
30	-0.038586813767629236	-0.21014	10	outOfMotif
11	-0.038586813767629236	2.5418499999999997	10	outOfMotif
41	0.022683116318017817	0.0014500000000001734	1	outOfMotif
55	0.2687032001531763	-0.36728000000000005	3	inMotif
33	-0.4973038084558828	1.08483	1	inMotif
1	-0.15933886672471737	0.84859	3	outOfMotif
25	-0.07436151842028997	-0.18041999999999997	3	inMotif
43	0.063428725675821	0.7322500000000003	6	outOfMotif
44	0.009994584988403093	-6.000000000061512e-06	5	outOfMotif
3	0.15424690296670088	0.5387419999999999	1	inMotif
3	0.08458257757889792	0.053394	1	inMotif
0	-0.4222779052639028	1.255468	1	outOfMotif
1	0.03234104321808668	0.08604800000000001	1	outOfMotif
53	0.03234104321808668	0.0	1	inMotif
-1	0.030288514200937963	-2.1418999999999997	3	outOfMotif
34	-0.003868640559387996	-0.6204799999999997	6	outOfMotif
44	0.0007911465736550535	0.9218900000000003	1	outOfMotif
44	0.004349156923734844	1.1262600000000003	6	outOfMotif
28	0.2987238694687673	-0.11883128999999999	4	inMotif
26	-0.4057494423512304	-9.537e-05	4	outOfMotif
8	0.731033126164087	-0.8176880000000001	1	inMotif
24	-0.1602689439424394	0.4824900000000001	3	outOfMotif
17	0.003923875697433579	-0.003009999999999735	1	outOfMotif
18	-0.04256263472754603	0.0016300000000000203	1	outOfMotif
19	-0.01173837343403791	0.04335999999999984	1	outOfMotif
67	0.02233450405715321	-0.10491000000000028	1	outOfMotif
2	0.34134479049004374	-3.2647600000000008	8	outOfMotif
27	0.5702657118689939	1.41269	6	outOfMotif
34	0.3356628913232465	0.0012626000000000026	1	outOfMotif
41	0.00031331776978133576	0.07014999999999993	2	outOfMotif
23	-0.0006741436560328812	0.0005699999999997374	1	outOfMotif
17	0.23788148111469765	0.0006300000000001305	1	outOfMotif
3	0.08847657910049611	-0.29864999999999986	1	outOfMotif
22	-0.046208757045136904	0.0611900000000003	1	outOfMotif
36	0.2991267751910908	0.0667399999999998	1	outOfMotif
37	0.11375359520314222	-6.57093	4	outOfMotif
-1	-0.24529886882347315	-0.9511099999999999	1	outOfMotif
28	0.0	0.0	1	outOfMotif
28	0.0020308884261508327	0.0	1	outOfMotif
23	0.0	-1.0000000000509601e-05	1	outOfMotif
6	0.2968459364635079	1.31387	2	outOfMotif
15	0.30738492168519316	0.005759999999999987	2	outOfMotif
24	-0.1915428141920024	-0.33138999999999985	1	outOfMotif
39	0.11938241129149879	-0.035820000000000185	4	outOfMotif
61	0.339631418570263	-0.0044999999999999485	1	outOfMotif
40	-0.022125464064318413	-0.01519999999999988	1	outOfMotif
19	-0.0038470493126713237	-0.36084000000000005	2	outOfMotif
42	-0.011913367790797746	0.041184	3	outOfMotif
9	0.14798205597505087	0.11990299999999998	2	outOfMotif
11	0.058649237903365986	4.533354	1	outOfMotif
10	-0.0367304804308148	-0.002296500000000007	2	outOfMotif
68	-0.0003053940331054246	0.0	5	inMotif
44	0.0003091987868056665	8.009999999999962e-05	2	inMotif
29	-0.33440135187645076	0.0217342	7	inMotif
14	-0.3125647073041662	1.0659580000000002	1	inMotif
62	-0.009280533311065587	-0.010769999999999946	1	outOfMotif
-1	-0.024414196150983995	0.05248000000000008	1	outOfMotif
28	-0.10864074947281294	-0.013540000000000774	1	outOfMotif
30	0.044963421837710044	-0.0015299999999998093	1	outOfMotif
37	0.05208513055647948	0.000500000000000167	1	outOfMotif
45	0.05657379066424154	0.0	1	outOfMotif
12	0.0007240529416159446	5.4274	2	outOfMotif
17	-0.00031951407506114693	4.163430000000001	2	outOfMotif
25	0.0	1.0859999999999985	1	outOfMotif
28	0.0	0.000700000000000145	1	outOfMotif
43	-0.23573838186358165	0.29989000000000043	9	outOfMotif
47	0.05398776784209886	-0.09344999999999981	5	outOfMotif
42	-0.3782399346985728	-0.001068000000000069	1	outOfMotif
9	-0.006168376184929526	0.06513599999999997	1	outOfMotif
31	0.4402656667953322	-0.00036999999999998145	1	outOfMotif
16	-0.11194690542155403	0.078873	4	inMotif
47	-0.0010904376550027585	-0.0007706000000000102	1	inMotif
58	0.2247378328414131	-0.35529	1	inMotif
37	0.013466101952777967	0.012195599999999994	4	inMotif
6	0.188658347334259	-0.010795579999999999	9	inMotif
17	0.000424449850157854	-0.0032654000000000016	1	inMotif
17	0.2732576205711342	0.001045299999999999	9	inMotif
3	0.37519342909679504	-0.030017810000000002	9	inMotif
16	0.0435438039550514	-0.0188446	1	outOfMotif
1	0.4464976620116052	-0.02865598	10	inMotif
20	-0.05193090296160129	0.0006217999999999918	1	inMotif
15	-0.16229606920721024	-0.0007553999999999964	1	inMotif
13	-0.07577248820962688	-0.0007744000000000015	1	outOfMotif
12	-0.07646964247641505	-0.0020408000000000023	1	outOfMotif
10	-0.08753181684566873	-0.018604700000000002	1	inMotif
9	-0.05923404760105524	-0.04747820000000001	2	inMotif
1	-0.09685220434561861	-0.096668	1	inMotif
8	-0.11112632949837413	-0.02429999999999999	1	inMotif
0	0.17043451661363448	0.027061500000000002	8	outOfMotif
7	-0.11330832245134163	-0.012900999999999996	1	inMotif
6	-0.13129381543471377	-0.014828000000000008	1	inMotif
5	-0.11058451779554776	-0.0014419999999999988	1	outOfMotif
5	0.06854949848586354	-0.046092999999999995	6	inMotif
5	0.13296097148154068	-0.05845600000000001	8	inMotif
5	-0.08525877537306344	-0.029682000000000014	2	inMotif
0	0.05542149956295155	0.0008430999999999994	5	outOfMotif
-1	0.017155914307337903	0.0047150000000000004	4	outOfMotif
-1	-0.011283669108254426	0.0014838999999999998	3	outOfMotif
0	-0.08336422148259216	-0.0174484	1	inMotif
2	0.0860673346432712	0.0091705	2	inMotif
6	0.10323302785693264	0.0141258	4	inMotif
7	0.0399756483649825	-0.007537799999999997	2	inMotif
38	-0.04529074236299737	-0.3956799999999998	1	outOfMotif
26	0.0	-0.23156	2	outOfMotif
21	-0.05913408959651065	0.3016700000000001	1	outOfMotif
35	-0.013560135543327412	-2.5682	2	outOfMotif
20	-0.0032077410286885195	-0.000678999999999999	1	inMotif
22	0.0015568980484648755	-0.00035857999999999984	2	inMotif
21	-0.0050447948699047064	0.0016326899999999996	1	inMotif
1	0.014117117604941365	-0.026062000000000002	3	inMotif
2	-0.015296110104301552	0.014347100000000002	1	inMotif
5	-0.2216814229804373	0.0739709	1	inMotif
10	0.4651656116274383	0.0086479	7	inMotif
17	0.09119115444415181	0.009246800000000003	1	inMotif
20	0.3282485750981693	-0.1530252	2	inMotif
58	0.03896254783277885	-8.000000000008001e-05	3	outOfMotif
51	0.30709912710017834	-0.05194999999999972	4	outOfMotif
33	-0.06515337131265286	0.00042730000000000545	8	inMotif
39	-0.021491468175119925	-1.8999999999991246e-05	2	inMotif
35	0.02223428447974711	2.6700000000004498e-05	2	inMotif
37	-0.035284261388830215	-8.01000000000135e-05	4	outOfMotif
37	-0.016564497948878435	-0.00011060000000000236	8	inMotif
34	-0.17730270743092216	0.00029370000000000784	2	inMotif
33	0.04911298991995796	-0.0005570000000000019	4	inMotif
18	-0.023695442158234884	-0.0009230000000000071	2	inMotif
9	0.10125452169132375	-0.0623358	1	inMotif
68	0.04648591287532584	-0.03476699999999999	2	outOfMotif
53	0.0033735726369929163	0.025692000000000048	1	outOfMotif
1	0.03408868868497073	0.4699300000000002	3	outOfMotif
17	-0.13245547611689923	0.4244999999999999	1	outOfMotif
47	0.19408807012422116	-1.29367	2	outOfMotif
67	0.16748289288793622	0.15192000000000005	3	outOfMotif
65	0.05980955823919066	0.0739399999999999	3	outOfMotif
27	0.02381556766799988	0.74628	1	outOfMotif
42	0.36044023736169695	1.3056999999999994	3	outOfMotif
1	0.1534783277826126	0.187355	2	inMotif
1	0.29958504144647685	-0.13598	1	inMotif
62	0.09106901532120074	-0.12988700000000003	1	inMotif
57	0.020656918120794895	-0.034050000000000136	1	outOfMotif
18	-0.0028020687229144887	-1.8040160000000003	1	outOfMotif
17	-0.0015551580614576017	-1.0000000000065512e-05	2	outOfMotif
20	0.08114398307647136	-0.36171	3	outOfMotif
24	0.08815258645416697	-0.10687000000000024	2	outOfMotif
37	-0.012096932841178428	-0.0018500000000001293	1	outOfMotif
25	0.08126036632454542	0.07383999999999968	1	outOfMotif
16	-0.054859739915510616	0.12631000000000014	1	outOfMotif
6	0.002530631804911944	-0.26929000000000003	2	outOfMotif
60	-0.13585934754346526	-0.1574009999999999	5	outOfMotif
39	0.0023510648100548955	0.012189999999999923	2	outOfMotif
-1	0.4107574970742618	-0.5354999999999999	1	outOfMotif
42	-0.572348962844306	0.9460999999999995	1	outOfMotif
38	-0.15724675962950205	-2.2491700000000003	2	outOfMotif
-1	0.05257198011532667	-2.81388	1	outOfMotif
51	-0.11309722174163747	0.2404442	10	inMotif
20	0.19548607415492397	-0.14533999999999958	1	outOfMotif
8	-0.07056133285951295	0.1273200000000001	4	outOfMotif
19	0.41314747123215934	-0.86164	1	inMotif
29	0.41314747123215934	2.64283	1	outOfMotif
33	0.35496163716648327	-0.037370000000000125	1	outOfMotif
28	0.35496163716648327	-0.044849	1	outOfMotif
16	-0.08659136101105705	0.200401473	3	inMotif
29	0.28360188004428827	0.040886	1	inMotif
29	-0.1602463666318265	0.008360000000000145	3	outOfMotif
42	0.09453759016269901	-0.027843000000000062	3	outOfMotif
29	0.2147717997944056	0.004977999999999927	4	outOfMotif
29	0.08691253085672472	0.004258999999999902	3	outOfMotif
30	-0.15156928052328808	0.0012889999999999846	1	outOfMotif
42	0.0836724112685962	0.0022720000000000518	3	outOfMotif
42	0.006645894179362208	0.0012079999999999869	2	outOfMotif
21	0.32417448560338474	-0.07838400000000001	4	outOfMotif
16	0.08858596249069518	-0.2931410000000001	4	outOfMotif
1	-0.001642957011336961	0.3291280000000001	2	outOfMotif
35	0.07855521541298005	-0.11957200000000012	2	outOfMotif
40	-0.0398730601066189	0.17260900000000012	1	outOfMotif
51	0.05081125805245914	-0.07651300000000005	3	outOfMotif
36	-0.6831349219869056	-8.66872	1	outOfMotif
21	0.052399012426772806	-3.08643	4	outOfMotif
31	-0.00665229737790172	-8.999999999970143e-05	1	outOfMotif
39	-0.002068695625662531	0.0	1	outOfMotif
59	0.19908893733349736	0.0	2	outOfMotif
43	-0.02436284941035632	-0.00022099999999999898	2	inMotif
44	0.0	-7.000000000007001e-06	1	inMotif
32	0.014398606038244685	3.0000000000196536e-05	1	inMotif
27	0.45695912628558233	-0.20299600000000007	4	outOfMotif
58	0.06363077581020841	-1.6891500000000006	1	outOfMotif
13	-0.0899543969543772	-0.046154	1	outOfMotif
46	-0.0899543969543772	0.5191399999999999	1	outOfMotif
4	0.11952529566630896	0.10467490000000002	1	outOfMotif
37	0.11952529566630896	0.1087800000000001	1	outOfMotif
12	-0.01931324772757	-0.0549164	1	outOfMotif
13	-0.01931324772757	0.7887959999999999	1	inMotif
16	-0.07614943294668147	0.06190470000000001	1	outOfMotif
8	-0.07614943294668147	0.096134	1	inMotif
18	0.009059282321309838	0.003635400000000011	1	outOfMotif
6	0.009059282321309838	-0.02671000000000001	1	inMotif
27	0.00020232087052959974	0.35053999999999996	3	outOfMotif
2	0.00020232087052959974	-0.0743527	3	outOfMotif
51	0.017692174648225503	0.0005035000000000005	9	outOfMotif
18	0.017692174648225503	-0.03291300000000008	9	inMotif
51	0.0017287793642185843	0.0005797999999999984	1	outOfMotif
18	0.0017287793642185843	0.006359999999999921	1	inMotif
54	-0.037835537334248166	0.0009499	2	outOfMotif
21	-0.037835537334248166	-0.028689999999999882	2	inMotif
57	0.054193947172799836	0.0012093	1	outOfMotif
24	0.054193947172799836	-0.2752999999999999	1	inMotif
30	-0.13727806421718372	0.6425800000000002	1	inMotif
14	-0.34301885851758324	1.171125	2	inMotif
3	0.16271490606532268	-0.32217700000000005	2	inMotif
39	-0.2434254391143018	0.344317	4	inMotif
65	0.17118616805648182	-0.00017000000000022553	2	outOfMotif
5	0.0004993231529382763	-0.53789	1	outOfMotif
40	0.09088939514561899	-0.013440000000000119	1	outOfMotif
26	-0.002022244244081539	-0.0035400000000000015	2	inMotif
0	-0.39874487763703115	0.38834	4	inMotif
27	-0.022087840316769383	-1.56104	1	outOfMotif
46	-0.07603542138828183	0.10989999999999966	2	outOfMotif
31	-0.0044184376954636605	2.32194	1	outOfMotif
51	-0.0044184376954636605	3.1572200000000006	1	outOfMotif
61	-0.03847008914403936	-0.023688999999999988	1	outOfMotif
15	-0.03847008914403936	-0.11758900000000005	1	outOfMotif
6	0.034843919781119795	0.08688000000000007	1	outOfMotif
24	0.019347759222364938	-0.03761299999999995	1	outOfMotif
32	-0.04897859445741796	-0.2039399999999998	3	outOfMotif
58	-0.036308879929256035	-0.04039799999999999	1	outOfMotif
23	-0.088388327455211	0.09435500000000008	2	outOfMotif
41	-0.29168966826575704	-0.08743099999999998	2	outOfMotif
22	0.08117268006872336	0.03274900000000003	2	outOfMotif
21	0.012589110828627278	0.05629000000000006	1	outOfMotif
15	-0.14809224994911027	0.003896999999999984	1	outOfMotif
14	0.0348912565685628	0.03937899999999994	1	outOfMotif
3	-0.3381376312815514	0.650311	6	outOfMotif
27	0.13698837015814397	0.20577100000000004	4	outOfMotif
16	0.08916226522970648	-0.08476600000000001	6	outOfMotif
12	0.03561051359372324	0.07390799999999997	4	outOfMotif
5	-0.3555915980366667	0.569502	4	outOfMotif
4	0.03343490348080727	-0.06537199999999999	4	outOfMotif
8	-0.0532022101687214	-0.15857	6	outOfMotif
1	-0.06472858459705678	0.0740559999999999	1	outOfMotif
10	0.04252135538112601	-0.009480000000000044	5	outOfMotif
-1	0.15119771630948342	-0.20117399999999996	7	outOfMotif
12	-0.09902556931133773	-0.009191999999999978	2	outOfMotif
12	-0.19277699445495775	0.0010789999999999411	1	outOfMotif
14	0.15165027208990406	0.05680099999999999	5	outOfMotif
14	0.04467172676045513	-0.0133319999999999	2	outOfMotif
5	-0.19044145326975143	0.12438999999999989	6	outOfMotif
6	0.04042099901170329	-0.09470899999999993	3	outOfMotif
15	0.021181791268304488	-0.015595000000000026	1	outOfMotif
16	0.016084478699722397	0.00823000000000007	1	outOfMotif
16	-0.002828316712259266	0.048846999999999974	2	outOfMotif
3	0.4444927102508801	-0.5651249999999999	10	outOfMotif
0	0.04617931808724033	0.15824700000000003	4	outOfMotif
59	0.04617931808724033	-0.0036049999999999693	4	outOfMotif
0	0.05375652113582899	-0.26986	1	outOfMotif
19	-0.06476795908087823	-0.025476999999999972	5	outOfMotif
57	-0.06476795908087823	-0.004025000000000056	5	outOfMotif
2	0.43004120923438044	-0.5436610000000001	9	outOfMotif
2	-0.08397432363264275	0.17688199999999998	1	outOfMotif
60	-0.08397432363264275	-0.0026319999999999677	1	outOfMotif
20	0.01298641555768755	-0.05423200000000006	2	outOfMotif
59	0.01298641555768755	-0.003633999999999915	2	outOfMotif
21	0.057317854707467836	-0.03757700000000008	1	outOfMotif
59	0.057317854707467836	-0.0033969999999999834	1	outOfMotif
12	0.09195896818160351	-0.23390499999999997	2	outOfMotif
51	0.09195896818160351	-0.055732000000000004	2	outOfMotif
14	0.05887483533147967	0.211225	4	outOfMotif
45	0.05887483533147967	-0.38361499999999993	4	outOfMotif
14	0.09841420344924015	0.300882	6	outOfMotif
43	0.09841420344924015	-0.4997170000000001	6	outOfMotif
33	-0.05992320572590088	0.10436700000000004	1	outOfMotif
48	-0.05992320572590088	-0.07283400000000007	1	outOfMotif
16	0.09800689513668807	0.222097	4	outOfMotif
43	0.09800689513668807	-0.3187420000000001	4	outOfMotif
16	-0.02820295236689597	-0.08503399999999994	1	outOfMotif
47	-0.02820295236689597	-0.002595000000000014	1	outOfMotif
17	-0.06002356679875297	0.022812999999999972	1	outOfMotif
46	-0.06002356679875297	-0.0048400000000000665	1	outOfMotif
38	0.0073481087138140815	-0.03778300000000001	4	outOfMotif
39	0.0073481087138140815	-0.09204600000000007	4	outOfMotif
60	0.06362276600616334	-0.158053	2	outOfMotif
53	-0.0045636098995515875	-0.00559199999999993	1	outOfMotif
19	0.19995776852133515	-0.85257	3	inMotif
3	-0.06315453415632706	2.4589900000000005	2	outOfMotif
41	0.0	-0.1425400000000001	1	outOfMotif
10	0.05492100265329288	0.04483999999999999	1	outOfMotif
62	-0.03226795328087801	0.1533800000000003	1	outOfMotif
19	0.0706237405415238	-0.0771408	8	outOfMotif
2	0.03425808609843222	0.002105700000000002	2	outOfMotif
1	-0.05221096266363494	0.0027085000000000026	1	outOfMotif
2	0.015224259731007272	0.015151999999999999	1	outOfMotif
1	-0.010013214188160792	0.1436884	1	outOfMotif
0	-0.01174672989802269	0.011913300000000002	1	outOfMotif
-1	1.8393095922196714	-0.5892500000000003	10	outOfMotif
39	1.8393095922196714	-0.000360000000000138	10	outOfMotif
-1	-0.052769650485529285	0.1148223	1	outOfMotif
2	-0.15605098244777227	-0.0032119999999999926	1	inMotif
39	-0.15605098244777227	-0.0005800000000000249	1	outOfMotif
6	-0.0033671909869789182	8.3999999999999e-05	1	inMotif
36	-0.0033671909869789182	0.0011900000000000244	1	outOfMotif
11	0.018206032903983333	-0.0010490399999999993	3	inMotif
28	0.018206032903983333	-0.017819999999999947	3	outOfMotif
23	0.06987868072881845	0.006244699999999995	5	inMotif
18	0.06987868072881845	-0.48878600000000005	5	outOfMotif
31	0.07175493808278273	0.0	1	outOfMotif
7	-0.04930932066386723	0.9717817000000001	2	outOfMotif
8	0.0025354620541583146	-0.0042200000000001125	2	outOfMotif
13	0.018145974009164567	-0.6753099999999996	2	outOfMotif
42	-0.013850827939625053	-4.02876	2	outOfMotif
21	0.15581070127694052	-2.30874	4	outOfMotif
7	0.18774374320112922	0.9099899999999999	7	outOfMotif
17	-0.037676099970882504	0.14257000000000009	4	outOfMotif
22	0.0	0.9149999999999996	2	outOfMotif
40	0.03971998389417035	-0.9176900000000001	1	outOfMotif
37	-0.22528984073664712	0.5673599999999999	1	outOfMotif
21	-0.07536502637427948	-2.19792	1	outOfMotif
-1	0.2877378715863197	1.0803800000000003	2	outOfMotif
35	-0.11073134822172986	0.03577999999999992	1	outOfMotif
21	0.37206110701494555	0.25027	3	outOfMotif
-1	-0.011527791679669682	-0.13873999999999942	3	outOfMotif
37	-0.011527791679669682	-0.013514999999999944	3	outOfMotif
31	0.1693818578053595	0.178161	1	outOfMotif
30	0.44485469175381903	0.0026999999999999247	2	inMotif
8	-0.7725813053078171	1.00115	1	inMotif
8	1.0402213462034213	-4.97409	4	outOfMotif
9	0.01721808078932634	-0.05071599999999998	2	outOfMotif
20	-0.42850609954066465	-0.7727315	1	outOfMotif
17	-0.1026646054493867	-0.08877000000000002	4	outOfMotif
51	-0.015913026399177292	0.0	1	inMotif
38	-0.00048730996045899224	-8.000000000008e-06	2	outOfMotif
37	-0.3379945886873855	-2.8357	5	outOfMotif
11	0.18295682813124367	0.1417600000000001	6	outOfMotif
16	0.04236460287517083	-0.03752000000000022	1	outOfMotif
20	0.10495742093510745	-0.01786000000000021	1	outOfMotif
25	0.5593156461107791	0.006699999999999928	3	outOfMotif
39	0.14370694513320473	-0.0008500000000002395	1	outOfMotif
45	0.0025996164717179476	-0.29525	1	outOfMotif
34	-0.014092726680679997	0.01804	1	inMotif
7	-0.3296144949320629	0.19585799999999998	4	inMotif
15	0.4713491217455934	-1.50492	1	inMotif
48	0.14166692845538975	-0.07442800000000005	1	outOfMotif
22	-0.0352634048964317	0.22676899999999997	4	outOfMotif
3	0.0051335100575400465	0.17523999999999998	4	outOfMotif
8	-0.09283517362797518	0.778025	2	outOfMotif
60	0.08630015277941441	-0.9911600000000003	10	inMotif
30	-0.05485041022805322	-0.04600900000000002	10	inMotif
23	-0.17776993708820887	0.01969999999999983	9	inMotif
27	0.007897205218337748	0.012759999999999883	2	inMotif
21	-0.11664284800740762	-0.2513500000000002	3	outOfMotif
18	0.024489836561727863	-0.09878000000000009	2	inMotif
6	0.30662642548695374	-0.00387000000000004	2	outOfMotif
14	0.3276042475866355	0.28137999999999996	10	outOfMotif
1	-0.5984383637819848	0.9958440000000001	2	inMotif
16	0.38021767108906995	0.32467000000000024	3	outOfMotif
14	0.4908602853249261	-0.1747700000000001	2	outOfMotif
-1	-0.014373727725018758	7.510199999999999	6	outOfMotif
-1	0.5958330473889643	7.479960000000001	2	outOfMotif
3	-0.2334096608175662	-10.625383	2	outOfMotif
-1	-0.8958947582725914	5.090489999999999	8	outOfMotif
9	-0.4667175876361941	0.20161000000000007	10	outOfMotif
10	-0.41931897784296457	-0.4170099999999999	6	outOfMotif
10	-0.6149386427224744	-0.24875999999999987	8	outOfMotif
30	-0.1286683260279409	-0.41735999999999995	2	outOfMotif
14	0.2576829642642611	-6.852704999999999	8	outOfMotif
35	-1.256783545266589	0.9869000000000003	7	outOfMotif
16	0.40553735466184315	-3.9746300000000003	8	outOfMotif
38	0.22077004572419273	-0.6732800000000001	2	outOfMotif
36	-0.3522187717461989	0.0021399999999998087	6	outOfMotif
40	0.5488338569722935	-0.47252000000000116	2	outOfMotif
38	-0.28709261589735463	-0.012730000000000352	4	outOfMotif
40	-0.22975671500383843	0.0020699999999997942	2	outOfMotif
32	0.6796488275914255	-2.3176200000000007	2	outOfMotif
42	0.6540717954122239	-0.4771800000000006	4	outOfMotif
26	-0.005507433498766173	1.7667400000000004	4	outOfMotif
30	0.00412012466308517	0.2645999999999997	8	outOfMotif
33	-0.0031810076727463534	0.0015300000000000036	9	outOfMotif
5	0.028816683704651676	-0.10661600000000004	2	outOfMotif
8	-0.043008637920538474	0.25171999999999994	1	outOfMotif
9	-0.0009034347162487849	0.176562	1	outOfMotif
11	-0.03692151835683696	-0.06415899999999997	1	outOfMotif
40	-0.011124073930218968	-0.19690000000000007	2	outOfMotif
40	0.012564873554847398	0.46534999999999993	3	outOfMotif
25	0.2901260234103385	4.6000000000101515e-05	2	outOfMotif
23	-0.08482549330837998	-0.73167	3	outOfMotif
58	0.3485309891467197	0.0005230000000000512	1	inMotif
13	0.17952419983186715	1.9880100000000003	1	outOfMotif
48	0.36560171999303837	-0.027790000000000425	7	outOfMotif
